,,,,"//==================================
// Area block 0x2D6
//==================================",,,,
"string","area-0x2D6-0x66AA_1","かんな「","」","\s<$01>[2x]きゃぁっ！\s<$02>[1x]",,,"=IF(F2="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x66C6_1","メイ「","=T(D2)","あ、また気絶した‥‥。",,,"=IF(F3="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x66C6_3","素子「","=T(D2)","ちょっとメイ！\n
見てないで手伝ったらどうなの?!",,,"=IF(F4="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_1","優子「","=T(D2)","大丈夫、気絶してるだけよ。
それよりも、どうするの？\n
じきに雨がくるわよ。",,,"=IF(F5="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_3","白木「","=T(D2)","そ、そうですね。\n
とりあえず‥洋館の中に入りません
か？",,,"=IF(F6="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_5","=T(C4)","=T(D2)","　\s<$01>[3x]い・や[1x]\s<$02>",,,"=IF(F7="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_7","沢田「","=T(D2)","おいおい、そう困らせないで
くれよ。",,,"=IF(F8="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_9","=T(C8)","=T(D2)","どうせ、撮影は中で行うんだ
し、メインスタッフ達が来るまでに
準備は済ませておきたいんだ。",,,"=IF(F9="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_11","=T(C8)","=T(D2)","ま、恐いんなら一人でバスに
残っててもいいんだがね。",,,"=IF(F10="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x671A_13","=T(C4)","=T(D2)","じょ、冗談でしょ!!\n
恐いわけないじゃないっ！",,,"=IF(F11="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x6873_1","綾華「","=T(D2)","ふへぇ～、雰囲気ばっちりぃ",,,"=IF(F12="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x68A1_1","ナビ「","=T(D2)","あ、あやか。\n
たたのしそうですね。",,,"=IF(F13="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x68C3_2","=T(C12)","=T(D2)","あれ？\n
ナビちゃん、恐いの？\n
言葉につまってるよぉ。",,,"=IF(F14="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x68F5_1","=T(C13)","=T(D2)","いいえぇ。\n
そんなはずありませんです。",,,"=IF(F15="""", ""UNTRANSLATED"", """")",
"string","area-0x2D6-0x68F5_3","=T(C13)","=T(D2)","ただ‥じょうずにはなせない
だけです。",,,"=IF(F16="""", ""UNTRANSLATED"", """")",
