,,,,"//==================================
// Area block 0x2D6
//==================================",,,,
string,area-0x2D6-0x66AA_1,Kanna: {,},\s<$01>[2x]きゃぁっ！\s<$02>[1x],\s<$01>[2x]EEEEK!\s<$02>[1x],,,
string,area-0x2D6-0x66C6_1,May: {,},あ、また気絶した‥‥。,Ah...She passed out again...,,,
string,area-0x2D6-0x66C6_3,Motoko: {,},"ちょっとメイ！\n
見てないで手伝ったらどうなの?!","Hey, May!\n
How about you _help_ instead of just watching!?",,,
string,area-0x2D6-0x671A_1,Yuuko: {,},"大丈夫、気絶してるだけよ。
それよりも、どうするの？\n
じきに雨がくるわよ。","It's all right[nbsp]-- she's only fainted.\n
More importantly, what should we do?\n
It's just about to rain.",,,
string,area-0x2D6-0x671A_3,Shiraki: {,},"そ、そうですね。\n
とりあえず‥洋館の中に入りません
か？","Th-that's right.\n
For now...why don't we go into the mansion?",,,
string,area-0x2D6-0x671A_5,Motoko: {,},　\s<$01>[3x]い・や[1x]\s<$02>,\s<$01>[3x]No. Way.[1x]\s<$02>,,,
string,area-0x2D6-0x671A_7,Sawada: {,},"おいおい、そう困らせないで
くれよ。","Hey hey, don't make this any worse than it has to be.",,,
string,area-0x2D6-0x671A_9,Sawada: {,},"どうせ、撮影は中で行うんだ
し、メインスタッフ達が来るまでに
準備は済ませておきたいんだ。","We're going to be filming in there anyways, and I want the setup over with before the main staff gets here.",,,
string,area-0x2D6-0x671A_11,Sawada: {,},"ま、恐いんなら一人でバスに
残っててもいいんだがね。","But hey, if you're scared, you can just stay in the bus by yourself.",,,
string,area-0x2D6-0x671A_13,Motoko: {,},"じょ、冗談でしょ!!\n
恐いわけないじゃないっ！","Wh-what a joke!\n
As _if_ I'd be scared!",,,
string,area-0x2D6-0x6873_1,Ayaka: {,},ふへぇ～、雰囲気ばっちりぃ,"Oh MAN, it feels _PERFECT_!",,,
string,area-0x2D6-0x68A1_1,Navi: {,},"あ、あやか。\n
たたのしそうですね。","A-Ayaka.\n
You seem ha-happy.",,,
string,area-0x2D6-0x68C3_2,Ayaka: {,},"あれ？\n
ナビちゃん、恐いの？\n
言葉につまってるよぉ。","Oh?\n
Navi, are you scared? You're stuttering.",,,
string,area-0x2D6-0x68F5_1,Navi: {,},"いいえぇ。\n
そんなはずありませんです。","No.\n
That's isn't the case.",,,
string,area-0x2D6-0x68F5_3,Navi: {,},"ただ‥じょうずにはなせない
だけです。",I just...can't speak very right.,,,
string,area-0x2D6-0x68F5_7,Ayaka: {,},"ふ～ん。\n
もっと勉強しなきゃね。","Hmm.\n
You've gotta study harder.",,,
string,area-0x2D6-0x6960_2,Ayaka: {,},"ねぇねぇメイちゃん。\n
ちょっと歩きまわってみようよ！","Hey, hey, May!\n
Let's walk around a little!",,,
string,area-0x2D6-0x6990_1,Navi: {,},"それじゃぁですね、メイ。\n
\c<$0B>十字キー\c<$0F>を押した方向に\c<$0B>歩けます\c<$0F>で
す。","Okay now then, May.\n
You can \c<$0B>walk\c<$0F> in the direction you push onto the \c<$0B>D-Pad\c<$0F>.",,,
string,area-0x2D6-0x6990_3,Navi: {,},"それから‥人に接触している
時に、\c<$0B>[I]ボタン\c<$0F>を押せばですね。\n
その人に\c<$0B>話しかける\c<$0F>事ができます。","Then...When you're touching someone, if you press the \c<$0B>I Button\c<$0F>? You can \c<$0B>talk to\c<$0F> that person.",,,
string,area-0x2D6-0x6990_5,Navi: {,},"気になる場所を\c<$0B>調べたい\c<$0F>って
思った時も、その場所の前に立って\c<$0B>
[I]ボタン\c<$0F>を押してくださいです。","When you think you want to \c<$0B>investigate\c<$0F> somewhere that interests you, stand in the front of it and press the \c<$0B>I Button\c<$0F>.",,,
string,area-0x2D6-0x6990_7,Navi: {,},"え、え～と、あとですね‥‥\c<$0B>
[II]ボタン\c<$0F>を押せば\c<$0B>コマンド\c<$0F>が表示さ
れます。","Um, uhh, and...\n
If you press the \c<$0B>II Button\c<$0F>, \c<$0B>commands\c<$0F> will be displayed.",,,
string,area-0x2D6-0x6990_9,Navi: {,},"\c<$0B>十字キー\c<$0F>でコマンドを選んで
からですね、\c<$0B>[I]ボタン\c<$0F>を押してくだ
さいです。","After you've have selected a command with the \c<$0B>D-Pad\c<$0F>, press the \c<$0B>I Button\c<$0F>.",,,
string,area-0x2D6-0x6AF6_1,Sawada: {,},"　\s<$01>[2x]おい！[1x]\s<$02>\n
\n
あまり勝手に動きまわるな。","\s<$01>[2x]Hey![1x]\s<$02>[br3]
[br3]
Don't go wandering around too much.",,,
string,area-0x2D6-0x6B28_1,Sasaki: {,},いよいよ降ってきましたね‥\n,"It's finally started raining, huh...",,,
string,area-0x2D6-0x6B28_3,Sawada: {,},"白木、部屋に案内してくれ。\n
下見に来た事があるのは、お前だけ
なんだからな。","Shiraki, take us to the rooms.\n
You're the only one that came by in advance, after all.",,,
string,area-0x2D6-0x6B28_5,Shiraki: {,},は、はい。,R-right.,,,
string,area-0x2D6-0x6BA7_1,Shiraki: {,},"え～、こちらです。\n
ついてきてください。","Err...This way.\n
Please follow me.",,,
string,area-0x2D6-0x6BDA_1,Motoko: {,},"ふん！\n
趣味の悪い洋館ね。","Hmph!\n
What a gaudy mansion.",,,
string,area-0x2D6-0x6BDA_3,Motoko: {,},"ずいぶん古いみたいだけど、
崩れたりしないでしょうね。","It looks super old, but it's not really crumbling or anything, is it?",,,
string,area-0x2D6-0x6C37_1,Motoko: {,},"は～ぁ。\n
かんなは気絶するし、雨は降りそう
だし、トロいスタッフは遅れるし‥","(sigh)...\n
Kanna's fainted, and it looks like it's gonna rain, and the stupid staff's late...",,,
string,area-0x2D6-0x6C37_3,Motoko: {,},"ったく、こんな撮影なんて来
るんじゃなかったわ。","Geez, I never should've come on this shoot!",,,
string,area-0x2D6-0x6CAA_1,Navi: {,},"ゆうこ‥。くるしくないです
か？",Yuuko...Isn't that hard?,,,
string,area-0x2D6-0x6CAA_3,May: {,},"う～、スタッフのみんなが重
い機材を持ってるからってのは、分
かるんだけど‥。","Ooh...I know it's because all the staff guys are bringing in heavy equipment, but...",,,
string,area-0x2D6-0x6CAA_5,May: {,},"女性の優子さんに、気絶した
かんなを運ばせるなんて‥‥。","Making a woman like you carry Kanna's passed-out body, Miss Yuuko...",NOTE: SUBTLE FORESHADOWING,,
string,area-0x2D6-0x6CAA_7,Yuuko: {,},"うふふ、心配してくれてあり
がと。でも大丈夫。",Heh-heh-heh...Thanks for the concern. But I'm fine.,,,
string,area-0x2D6-0x6CAA_9,Yuuko: {,},"私から言い出した事だし‥、
こう見えても力はあるのよ。","It's like I've said...\n
Despite my appearance, I have power.",,,
string,area-0x2D6-0x6D9B_1,Yuuko: {,},"うふふ、心配してくれてあり
がと。でも大丈夫。",Heh-heh-heh...Thanks for the concern. But I'm fine.,DUPE: F36,,
string,area-0x2D6-0x6D9B_3,Yuuko: {,},"私から言い出した事だし‥、
こう見えても力はあるのよ。","It's like I've said...\n
Despite my appearance, I have power.",DUPE: F37,,
string,area-0x2D6-0x6E05_1,Sawada: {,},"どうした？\n
あんまり勝手に動きまわるなよ。","What's wrong?\n
Don't go wandering around too much.",,,
